+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |  SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7503/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1658.000  | 1658.000   | 1658.000     | 1658.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/miki170/icon                       | 0.152  | 0.152  | 0.152  | 0.152  | 0.152  | 0.152  | 0.152  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7504/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1650.000  | 1650.000   | 1650.000     | 1650.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/suzukichiyo0/icon                  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7505/reaction                | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 1648.000  | 1648.000   | 1648.000     | 1648.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/miuraatsushi0/icon                 | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7506/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1664.000  | 1664.000   | 1664.000     | 1664.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kimuramiki0/icon                   | 0.124  | 0.124  | 0.124  | 0.124  | 0.124  | 0.124  | 0.124  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7507/reaction                | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1635.000  | 1635.000   | 1635.000     | 1635.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/hashimotoasuka0/icon               | 0.192  | 0.192  | 0.192  | 0.192  | 0.192  | 0.192  | 0.192  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7508/reaction                | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1644.000  | 1644.000   | 1644.000     | 1644.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/hanakokondo0/icon                  | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7509/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1644.000  | 1644.000   | 1644.000     | 1644.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/vokada0/icon                       | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7510/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1670.000  | 1670.000   | 1670.000     | 1670.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kanaokamoto0/icon                  | 0.056  | 0.056  | 0.056  | 0.056  | 0.056  | 0.056  | 0.056  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7511/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1645.000  | 1645.000   | 1645.000     | 1645.000  |
